League,Season,Level,Season_ID,DivName,Current Season
Germany,1993-94,D1,9394, Bundesliga 1,N
Germany,1993-94,D2,9394, Bundesliga 2,N
Germany,1994-95,D1,9495, Bundesliga 1,N
Germany,1994-95,D2,9495, Bundesliga 2,N
Germany,1995-96,D1,9596, Bundesliga 1,N
Germany,1995-96,D2,9596, Bundesliga 2,N
Germany,1996-97,D1,9697, Bundesliga 1,N
Germany,1996-97,D2,9697, Bundesliga 2,N
Germany,1997-98,D1,9798, Bundesliga 1,N
Germany,1997-98,D2,9798, Bundesliga 2,N
Germany,1998-99,D1,9899, Bundesliga 1,N
Germany,1998-99,D2,9899, Bundesliga 2,N
Germany,1999-00,D1,9900, Bundesliga 1,N
Germany,1999-00,D2,9900, Bundesliga 2,N
Germany,2000-01,D1,1, Bundesliga 1,N
Germany,2000-01,D2,1, Bundesliga 2,N
Germany,2001-02,D1,102, Bundesliga 1,N
Germany,2001-02,D2,102, Bundesliga 2,N
Germany,2002-03,D1,203, Bundesliga 1,N
Germany,2002-03,D2,203, Bundesliga 2,N
Germany,2003-04,D1,304, Bundesliga 1,N
Germany,2003-04,D2,304, Bundesliga 2,N
Germany,2004-05,D1,405, Bundesliga 1,N
Germany,2004-05,D2,405, Bundesliga 2,N
Germany,2005-06,D1,506, Bundesliga 1,N
Germany,2005-06,D2,506, Bundesliga 2,N
Germany,2006-07,D1,607, Bundesliga 1,N
Germany,2006-07,D2,607, Bundesliga 2,N
Germany,2007-08,D1,708, Bundesliga 1,N
Germany,2007-08,D2,708, Bundesliga 2,N
Germany,2008-09,D1,809, Bundesliga 1,N
Germany,2008-09,D2,809, Bundesliga 2,N
Germany,2009-10,D1,910, Bundesliga 1,N
Germany,2009-10,D2,910, Bundesliga 2,N
Germany,2010-11,D1,1011, Bundesliga 1,N
Germany,2010-11,D2,1011, Bundesliga 2,N
Germany,2011-12,D1,1112, Bundesliga 1,N
Germany,2011-12,D2,1112, Bundesliga 2,N
Germany,2012-13,D1,1213, Bundesliga 1,N
Germany,2012-13,D2,1213, Bundesliga 2,N
Germany,2013-14,D1,1314, Bundesliga 1,N
Germany,2013-14,D2,1314, Bundesliga 2,N
Germany,2014-15,D1,1415, Bundesliga 1,N
Germany,2014-15,D2,1415, Bundesliga 2,N
Germany,2015-16,D1,1516, Bundesliga 1,N
Germany,2015-16,D2,1516, Bundesliga 2,N
Germany,2016-17,D1,1617, Bundesliga 1,N
Germany,2016-17,D2,1617, Bundesliga 2,N
Germany,2017-18,D1,1718, Bundesliga 1,N
Germany,2017-18,D2,1718, Bundesliga 2,N
Germany,2018-19,D1,1819, Bundesliga 1,N
Germany,2018-19,D2,1819, Bundesliga 2,N
Germany,2019-20,D1,1920, Bundesliga 1,N
Germany,2019-20,D2,1920, Bundesliga 2,N
Germany,2020-21,D1,2021, Bundesliga 1,N
Germany,2020-21,D2,2021, Bundesliga 2,N
Germany,2021-22,D1,2122, Bundesliga 1,N
Germany,2021-22,D2,2122, Bundesliga 2,N
Germany,2022-23,D1,2223, Bundesliga 1,N
Germany,2022-23,D2,2223, Bundesliga 2,N
Germany,2023-24,D1,2324, Bundesliga 1,Y
Germany,2023-24,D2,2324, Bundesliga 2,Y
